encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,psnr,vmaf
7,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,18667784,44.62155,99.406406
8,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,16379868,44.051502,99.192502
9,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,14293883,43.408926,98.92459
10,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,3985062,38.802828,89.46267
11,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,2969404,37.790129,84.728349
12,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,5626657,39.841945,93.272636
13,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,10083406,41.732308,97.418013
14,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,8257756,41.016286,96.256096
15,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,2605779,37.281762,82.001063
16,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,2311770,36.773283,79.0175
17,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,2057697,36.266204,75.761117
18,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,1846881,35.755654,72.262805
19,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,1502478,34.699482,64.601151
20,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,1224828,33.64631,56.380823
21,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,881595,32.099442,44.285166
22,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,639578,30.636504,34.315382
23,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,521597,29.655726,28.507561
24,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,301501,26.970597,17.578422
25,5,1920,1080,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,268328,26.453319,15.661969
26,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,7527153,40.081646,95.305851
27,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,6347394,39.754083,94.254731
28,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,5373188,39.412548,93.027088
29,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,3906698,38.698747,90.048244
30,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,3333655,38.326163,88.289737
31,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,2455108,37.557851,84.275405
32,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,1847190,36.730234,79.228524
33,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,1421475,35.864784,73.312733
34,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,1255205,35.413793,70.0178
35,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,1114051,34.95945,66.589436
36,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,994118,34.495207,62.917555
37,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,33,886317,34.025268,59.19226
38,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,35,716568,33.111674,51.399306
39,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,37,581826,32.201787,43.774618
40,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,40,419276,30.860987,33.391381
41,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,43,305385,29.550029,24.829912
42,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,45,248773,28.651651,19.868308
43,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,50,137863,26.08811,10.813509
44,5,1280,720,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,122050,25.648896,9.377917
45,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,18,2953271,36.435304,81.763194
46,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,19,2515005,36.240474,80.148417
47,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,20,2150293,36.030121,78.308968
48,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,22,1600370,35.562353,74.106793
49,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,23,1391740,35.304655,71.659727
50,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,25,1051078,34.745094,66.304868
51,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,27,800290,34.119632,60.291168
52,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,29,614468,33.434397,53.628978
53,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,30,541016,33.083812,50.233929
54,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,31,477254,32.723235,46.700947
55,5,720,480,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,32,423397,32.352831,43.209918
